timestamp,Bitcoin,isPartial
1483228800000,16,False
1483315200000,26,False
1483401600000,25,False
1483488000000,27,False
1483574400000,34,False
1483660800000,30,False
1483747200000,25,False
1483833600000,24,False
1483920000000,22,False
1484006400000,20,False
1484092800000,23,False
1484179200000,24,False
1484265600000,19,False
1484352000000,18,False
1484438400000,17,False
1484524800000,16,False
1484611200000,18,False
1484697600000,17,False
1484784000000,17,False
1484870400000,16,False
1484956800000,15,False
1485043200000,15,False
1485129600000,16,False
1485216000000,16,False
1485302400000,15,False
1485388800000,14,False
1485475200000,14,False
1485561600000,14,False
1485648000000,14,False
1485734400000,15,False
1485820800000,16,False
1485907200000,17,False
1485993600000,17,False
1486080000000,17,False
1486166400000,16,False
1486252800000,16,False
1486339200000,17,False
1486425600000,16,False
1486512000000,17,False
1486598400000,18,False
1486684800000,17,False
1486771200000,16,False
1486857600000,15,False
1486944000000,15,False
1487030400000,15,False
1487116800000,16,False
1487203200000,17,False
1487289600000,16,False
1487376000000,16,False
1487462400000,14,False
1487548800000,16,False
1487635200000,19,False
1487721600000,18,False
1487808000000,21,False
1487894400000,22,False
1487980800000,19,False
1488067200000,18,False
1488153600000,18,False
1488240000000,19,False
1488326400000,19,False
1488412800000,23,False
1488499200000,31,False
1488585600000,26,False
1488672000000,22,False
1488758400000,23,False
1488844800000,25,False
1488931200000,23,False
1489017600000,22,False
1489104000000,31,False
1489190400000,27,False
1489276800000,21,False
1489363200000,22,False
1489449600000,21,False
1489536000000,20,False
1489622400000,20,False
1489708800000,21,False
1489795200000,25,False
1489881600000,23,False
1489968000000,21,False
1490054400000,21,False
1490140800000,21,False
1490227200000,19,False
1490313600000,21,False
1490400000000,22,False
1490486400000,20,False
1490572800000,19,False
1490659200000,19,False
1490745600000,19,False
1490832000000,17,False
1490918400000,18,False
1491004800000,18,False
1491091200000,17,False
1491177600000,18,False
1491264000000,19,False
1491350400000,17,False
1491436800000,18,False
1491523200000,18,False
1491609600000,18,False
1491696000000,17,False
1491782400000,17,False
1491868800000,19,False
1491955200000,18,False
1492041600000,18,False
1492128000000,16,False
1492214400000,16,False
1492300800000,16,False
1492387200000,17,False
1492473600000,19,False
1492560000000,17,False
1492646400000,17,False
1492732800000,18,False
1492819200000,17,False
1492905600000,15,False
1492992000000,17,False
1493078400000,20,False
1493164800000,20,False
1493251200000,21,False
1493337600000,21,False
1493424000000,19,False
1493510400000,19,False
1493596800000,22,False
1493683200000,26,False
1493769600000,26,False
1493856000000,34,False
1493942400000,29,False
1494028800000,26,False
1494115200000,25,False
1494201600000,28,False
1494288000000,34,False
1494374400000,31,False
1494460800000,37,False
1494547200000,41,False
1494633600000,43,False
1494720000000,36,False
1494806400000,49,False
1494892800000,42,False
1494979200000,37,False
1495065600000,32,False
1495152000000,38,False
1495238400000,38,False
1495324800000,38,False
1495411200000,65,False
1495497600000,71,False
1495584000000,77,False
1495670400000,100,False
1495756800000,83,False
1495843200000,67,False
1495929600000,47,False
1496016000000,45,False
1496102400000,47,False
1496188800000,45,False
1496275200000,43,False
1496361600000,39,False
1496448000000,39,False
