Date,hashrate
1674604800000,327010527.67509925
1674518400000,241053474.686216
1674432000000,295243790.7009466
1674345600000,282163369.5939428
1674259200000,257871158.96664968
1674172800000,246659369.44636056
1674086400000,270951580.07365364
1674000000000,261608422.1400793
1673913600000,291506527.527517
1673827200000,274688843.2470833
1673740800000,280250606.7848099
1673654400000,289810898.0689498
1673568000000,269473291.1869182
1673481600000,255914886.5988972
1673395200000,249135684.30488667
1673308800000,286421296.9219445
1673222400000,257609687.17239985
1673136000000,259304487.74590245
1673049600000,260999288.3194051
1672963200000,305064103.23047346
1672876800000,266083690.039913
1672790400000,242356482.01087615
1672704000000,261883481.8059322
1672617600000,274241331.1734265
1672531200000,272483373.9223148
1672444800000,274241331.1734265
1672358400000,277757245.6756499
1672272000000,247871972.4067509
1672185600000,295336818.18676704
1672099200000,202165083.87784645
1672012800000,226776485.39341035
1671926400000,247871972.4067509
1671840000000,156458195.34894204
1671753600000,232050357.14674556
1671667200000,237324228.90008065
1671580800000,251387886.90897432
1671494400000,246114015.1556391
1671408000000,233961255.1644386
1671321600000,246832768.8777272
1671235200000,234916704.1732852
1671148800000,221298344.51106572
1671062400000,236618999.1310626
1670976000000,251939653.75105944
1670889600000,280878668.0332757
1670803200000,243428178.9621724
1670716800000,250237358.793282
1670630400000,262153423.49772403
1670544000000,258748833.5821692
1670457600000,284283257.94883054
1670371200000,292794732.7377177
1670284800000,231289584.0177272
1670198400000,268175577.3623268
1670112000000,257154663.22414896
1670025600000,240623292.0168823
1669939200000,229602377.8787045
1669852800000,281033310.52353424
1669766400000,253481025.1780897
1669680000000,240623292.0168823
1669593600000,255317844.20111936
1669507200000,249807387.1320305
1669420800000,200213273.51023027
1669334400000,225928739.8326452
1669248000000,236949653.97082296
1669161600000,258991482.2471786
1669075200000,231439196.90173405
1668988800000,236949653.97082296
1668902400000,272375605.3694332
1668816000000,268636445.8702748
1668729600000,254016775.34672245
1668643200000,252189316.5312784
1668556800000,274118822.31660694
1668470400000,283256116.39382714
1668384000000,224777434.2996177
1668297600000,235742187.192282
1668211200000,305185622.17915577
1668124800000,244879481.2695022
1668038400000,268636445.8702748
1667952000000,272291363.5011629
1667865600000,297875786.9173795
1667779200000,263186945.4874768
1667692800000,250862304.46074155
1667606400000,276497868.4202333
1667520000000,236213410.7696033
1667433600000,300302320.6683329
1667347200000,223395628.7898574
1667260800000,263680086.4404874
1667174400000,316782326.0708633
1667088000000,247200081.03795695
1667001600000,261848974.7290952
1666915200000,291146762.1113715
1666828800000,247200081.03795695
1666742400000,283822315.2658024
1666656000000,223395628.7898574
1666569600000,249031192.74934924
1666483200000,274506216.9071191
1666396800000,240750216.4305196
1666310400000,276154660.02324307
1666224000000,256682216.0472452
1666137600000,267303549.1250622
1666051200000,251371549.5083366
1665964800000,265533326.945426
1665878400000,254911993.867609
1665792000000,269073771.3046984
1665705600000,276154660.02324307
1665619200000,253141771.68797284
1665532800000,242520438.6101558
1665446400000,277924882.20287925
1665360000000,281762541.4868823
1665273600000,246312726.25636423
1665187200000,272814728.44850475
1665100800000,266578963.2268246
1665014400000,247871667.56178424
1664928000000,272814728.44850475
1664841600000,254107432.7834644
1664755200000,240076961.03468412
1664668800000,244753784.95094424
1664582400000,282168376.2810249
1664496000000,263461080.61598453
1664409600000,222928606.67506388
1664323200000,234283743.87934905
1664236800000,205494866.90368396
1664150400000,238947519.65544644
1664064000000,234168569.26233757
1663977600000,232575585.79796788
1663891200000,215052767.68990183
1663804800000,203901883.4393143
1663718400000,224610668.47611964
1663632000000,242133486.58418572
1663545600000,207087850.3680536
1663459200000,245319453.51292503
1663372800000,270807188.94283926
1663286400000,203901883.4393143
1663200000000,234168569.26233757
1663113600000,202308899.97494468
1663027200000,211972242.0735515
1662940800000,235601272.08754936
1662854400000,281797599.94785315
1662768000000,241760782.4689232
1662681600000,226362006.5154886
1662595200000,195564454.60861945
1662508800000,224822128.92014512
1662422400000,218662618.53877124
1662336000000,235601272.08754936
1662249600000,258699436.01770127
1662163200000,226362006.5154886
1662076800000,198644209.79930627
1661990400000,212503108.15739748
1661904000000,219862688.89188156
1661817600000,228317294.5356746
1661731200000,221270464.45741308
1661644800000,226907928.52002236
1661558400000,204358072.2695853
1661472000000,248048418.754807
1661385600000,224089196.48871768
1661299200000,205767438.2852376
1661212800000,242410954.69219768
1661126400000,204358072.2695853
1661040000000,205767438.2852376
1660953600000,209995536.3321945
1660867200000,250867150.7861116
1660780800000,202403376.0331685
1660694400000,180673577.3340092
1660608000000,207284414.30568492
1660521600000,203082703.20489404
1660435200000,186275858.8017304
1660348800000,194679281.00331223
1660262400000,215687836.5072668
1660176000000,196079851.3702425
1660089600000,207284414.30568492
1660003200000,200281562.47103348
1659916800000,201682132.83796376
1659830400000,222690688.3419183
1659744000000,225491829.07577893
1659657600000,210085555.0395456
1659571200000,183173748.8020644
1659484800000,199607727.89860287
1659398400000,213373778.09850645
1659312000000,187218282.7186896
1659225600000,209243963.0385354
1659139200000,177582047.57875702
1659052800000,200984332.91859323
1658966400000,194101307.8186414
1658880000000,227139828.2984101
1658793600000,220256803.19845837
1658707200000,195477912.8386317
1658620800000,216126988.1384872
1658534400000,211997173.07851613
1658448000000,181711862.6387281
1658361600000,199187652.45519632
1658275200000,182598379.6414109
1658188800000,199988701.51202145
1658102400000,189844347.0874986
1658016000000,179699992.6629758
1657929600000,214480636.4041969
1657843200000,205785475.4688916
1657756800000,179699992.6629758
1657670400000,159411283.8139301
1657584000000,218828216.87184957
1657497600000,178250799.1737582
1657411200000,221726603.8502846
1657324800000,194191927.5551512
1657238400000,214480636.4041969
1657152000000,227544125.37384427
1657065600000,186682514.1001857
1656979200000,173453044.59702292
1656892800000,210201570.99469727
1656806400000,227840863.6655809
1656720000000,202851865.7151624
1656633600000,196972101.49153444
1656547200000,251359920.5600925
1656460800000,221961099.44195303
1656374400000,214611394.16241816
1656288000000,199911983.60334843
1656201600000,202851865.7151624
1656115200000,221961099.44195303
1656028800000,189622396.2119996
1655942400000,223431040.49786
1655856000000,193273708.26929796
1655769600000,225808603.1296844
1655683200000,198711570.75412232
1655596800000,200216961.44165352
1655510400000,234840947.25487185
1655424000000,162582194.2533728
1655337600000,179141491.81621632
1655251200000,248389463.44265285
1655164800000,219787040.37955952
1655078400000,200216961.44165352
1654992000000,191184617.31646612
1654905600000,231830165.87980932
1654819200000,221292431.06709072
1654732800000,219787040.37955952
1654646400000,266405768.7361438
1654560000000,240765744.0912292
1654473600000,222931244.5289159
1654387200000,216986411.34147817
1654300800000,206582953.2634621
1654214400000,212527786.45089987
1654128000000,185776037.10742992
1654041600000,202124328.3728837
1653955200000,216986411.34147817
1653868800000,228876077.71635368
1653782400000,221445036.23205647
