,dir_lag_1,dir_lag_2,dir_lag_3,dir_lag_4,dir_lag_5,sma_lag_1,sma_lag_2,sma_lag_3,sma_lag_4,sma_lag_5,boll_lag_1,boll_lag_2,boll_lag_3,boll_lag_4,boll_lag_5,min_lag_1,min_lag_2,min_lag_3,min_lag_4,min_lag_5,max_lag_1,max_lag_2,max_lag_3,max_lag_4,max_lag_5,mom_lag_1,mom_lag_2,mom_lag_3,mom_lag_4,mom_lag_5,vol_lag_1,vol_lag_2,vol_lag_3,vol_lag_4,vol_lag_5,obv_lag_1,obv_lag_2,obv_lag_3,obv_lag_4,obv_lag_5,mfi14_lag_1,mfi14_lag_2,mfi14_lag_3,mfi14_lag_4,mfi14_lag_5,rsi14_lag_1,rsi14_lag_2,rsi14_lag_3,rsi14_lag_4,rsi14_lag_5,adx14_lag_1,adx14_lag_2,adx14_lag_3,adx14_lag_4,adx14_lag_5,roc_lag_1,roc_lag_2,roc_lag_3,roc_lag_4,roc_lag_5,atr14_lag_1,atr14_lag_2,atr14_lag_3,atr14_lag_4,atr14_lag_5,bop_lag_1,bop_lag_2,bop_lag_3,bop_lag_4,bop_lag_5,ad_lag_1,ad_lag_2,ad_lag_3,ad_lag_4,ad_lag_5,adosc_lag_1,adosc_lag_2,adosc_lag_3,adosc_lag_4,adosc_lag_5,trange_lag_1,trange_lag_2,trange_lag_3,trange_lag_4,trange_lag_5,ado_lag_1,ado_lag_2,ado_lag_3,ado_lag_4,ado_lag_5,willr14_lag_1,willr14_lag_2,willr14_lag_3,willr14_lag_4,willr14_lag_5,dx14_lag_1,dx14_lag_2,dx14_lag_3,dx14_lag_4,dx14_lag_5,trix_lag_1,trix_lag_2,trix_lag_3,trix_lag_4,trix_lag_5,ultosc_lag_1,ultosc_lag_2,ultosc_lag_3,ultosc_lag_4,ultosc_lag_5
count,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0,1809.0
mean,-4.1242115674301e-17,-4.7624824052466637e-17,-4.7133846484915436e-17,-5.1061667025325057e-17,-3.633233999878898e-17,-1.5711282161638478e-17,1.5711282161638478e-17,-6.284512864655391e-17,-7.855641080819239e-18,2.3566923242457718e-17,3.1422564323276956e-17,-3.1422564323276956e-17,-3.1422564323276956e-17,-2.3566923242457718e-17,1.5711282161638478e-17,-1.5711282161638478e-17,-1.0997897513146935e-16,0.0,-7.855641080819239e-17,9.426769296983087e-17,-1.2569025729310782e-16,-1.4925718053556556e-16,7.855641080819239e-18,1.3354589837392707e-16,5.4989487565734677e-17,1.3747371891433669e-17,-2.3566923242457718e-17,1.1783461621228859e-17,9.819551351024049e-18,1.9639102702048098e-17,-5.184723113340698e-16,0.0,-6.284512864655391e-17,5.498948756573467e-16,1.414015394547463e-16,6.284512864655391e-17,-6.284512864655391e-17,-1.2569025729310782e-16,0.0,0.0,1.0212333405065011e-16,-2.2781359134375794e-16,-7.855641080819239e-18,-5.1061667025325057e-17,1.7282410377802326e-16,3.1422564323276956e-17,-9.426769296983087e-17,-1.5711282161638478e-16,-5.341835934957083e-16,-3.4564820755604653e-16,2.3566923242457718e-17,2.1210230918211945e-16,1.2569025729310782e-16,-8.2484231348602e-17,9.819551351024049e-17,1.1783461621228859e-17,7.855641080819239e-18,-2.3566923242457718e-17,7.855641080819239e-18,-2.3566923242457718e-17,-6.284512864655391e-17,1.2569025729310782e-16,-1.2569025729310782e-16,0.0,6.284512864655391e-17,-1.9639102702048098e-17,2.6512788647764932e-17,-1.3747371891433669e-17,-3.9278205404096196e-17,-8.837596215921644e-18,-6.284512864655391e-17,6.284512864655391e-17,1.8853538593966175e-16,1.8853538593966175e-16,6.284512864655391e-17,-2.3566923242457718e-17,3.1422564323276956e-17,-3.9278205404096196e-17,-7.855641080819239e-18,-7.855641080819239e-18,-2.828030789094926e-16,0.0,9.426769296983087e-17,-6.284512864655391e-17,-6.284512864655391e-17,-3.9278205404096194e-18,-4.1242115674301e-17,-2.5530833512662528e-17,-1.1783461621228859e-17,3.1422564323276956e-17,-1.414015394547463e-16,-2.828030789094926e-16,2.985143610711311e-16,7.070076972737315e-17,6.284512864655391e-17,-1.767519243184329e-16,2.5530833512662528e-17,1.5318500107597516e-16,-1.5711282161638478e-17,1.9639102702048098e-17,1.5711282161638478e-17,1.5711282161638478e-17,-3.1422564323276956e-17,-3.1422564323276956e-17,-3.1422564323276956e-17,-4.556271826875159e-16,1.3354589837392707e-16,-4.006376951217812e-16,6.284512864655391e-17,2.1210230918211945e-16
std,1.0002765104435432,1.0002765104435432,1.0002765104435432,1.0002765104435432,1.000276510443572,1.0002765104435531,1.0002765104435534,1.0002765104435525,1.0002765104435538,1.0002765104435538,1.000276510443553,1.000276510443553,1.0002765104435543,1.0002765104435543,1.0002765104435534,1.000276510443555,1.0002765104435534,1.0002765104435538,1.0002765104435556,1.0002765104435531,1.000276510443552,1.0002765104435563,1.0002765104435556,1.0002765104435556,1.0002765104435551,1.0002765104435534,1.0002765104435531,1.0002765104435536,1.0002765104435543,1.0002765104435531,1.0002765104435534,1.0002765104435534,1.000276510443553,1.000276510443554,1.0002765104435538,1.0002765104435543,1.0002765104435534,1.0002765104435531,1.0002765104435547,1.0002765104435531,1.0002765104435527,1.0002765104435534,1.0002765104435536,1.0002765104435531,1.0002765104435531,1.0002765104435536,1.0002765104435536,1.000276510443554,1.000276510443554,1.000276510443554,1.0002765104435531,1.0002765104435547,1.0002765104435538,1.0002765104435538,1.0002765104435538,1.0002765104435538,1.0002765104435534,1.0002765104435538,1.000276510443553,1.0002765104435538,1.000276510443554,1.0002765104435543,1.000276510443554,1.0002765104435545,1.0002765104435534,1.0002765104435536,1.000276510443554,1.000276510443554,1.0002765104435538,1.000276510443554,1.0002765104435538,1.0002765104435534,1.0002765104435536,1.0002765104435534,1.0002765104435534,1.0002765104435536,1.0002765104435536,1.0002765104435534,1.0002765104435531,1.0002765104435543,1.0002765104435536,1.000276510443554,1.0002765104435538,1.000276510443553,1.0002765104435538,1.0002765104435527,1.0002765104435538,1.0002765104435538,1.0002765104435534,1.0002765104435531,1.0002765104435543,1.0002765104435538,1.0002765104435536,1.0002765104435538,1.0002765104435538,1.000276510443553,1.000276510443554,1.0002765104435531,1.0002765104435523,1.0002765104435536,1.0002765104435534,1.000276510443554,1.0002765104435545,1.0002765104435536,1.000276510443554,1.0002765104435536,1.0002765104435534,1.0002765104435531,1.000276510443554,1.0002765104435531
min,-1.022927216617946,-1.022927216617946,-1.022927216617946,-1.022927216617946,-1.024059383895316,-2.2044411487401283,-2.2047813097387357,-2.205125121459581,-2.205485657634353,-2.205852921686337,-3.381319943250157,-3.3799742734352662,-3.3800695867215884,-3.3803287994224878,-3.3804870305933843,-2.9900856541981584,-2.99030778660039,-2.9893214502821013,-2.9878022279261254,-2.984898946998716,-0.9920815148380935,-0.9923997923867695,-0.9931744513044154,-0.9939302632869823,-0.9944964738662994,-6.665355659321819,-6.657649058436949,-6.654973254923935,-6.654297099504714,-6.654098603735551,-1.6437176488127012,-1.643255351283746,-1.6430256498829325,-1.6419437703389026,-1.6406771147859769,-2.15453663283909,-2.1553077757274512,-2.1581190752973693,-2.0491969251063784,-2.0232942339622024,-2.6889536344505376,-2.688465846363549,-2.6889855645477,-2.68955185503849,-2.689653671050381,-2.951757905519563,-2.9506767249643397,-2.9508064352613643,-2.9511122417590188,-2.951382864837733,-1.8949110398721487,-1.8958814300148588,-1.8967857915643587,-1.897655418011928,-1.898481255709072,-3.7621488698362127,-3.7515932496567963,-3.7477380505987425,-3.7464993906933977,-3.7461122061295695,-0.9851537160568671,-0.9859659495031899,-0.98674760034701,-0.9875278347221572,-0.9883061858563684,-2.011833396432845,-2.010485477137522,-2.0104953203119376,-2.0107608522298253,-2.01216277632432,-1.1858855969898157,-1.1895943296708,-1.188278260220707,-1.1869597688575515,-1.1856486279161338,-7.459668348504321,-7.460854510172772,-7.4608258533637,-7.46087365757049,-7.461680136642677,-0.8261748275615423,-0.8266216486278063,-0.8271051270540892,-0.8277256504860475,-0.8279846686292768,-4.945710118343615,-4.945848919206953,-4.946005703289036,-4.946161401560838,-4.946324379894597,-1.8156378609967605,-1.8147570547148877,-1.815074354905927,-1.8159633306844696,-1.8170808702213213,-1.47386008669094,-1.4739999399286392,-1.4744444768109153,-1.4748892921391394,-1.4753978828245793,-1.9550927711562112,-1.9546549962086397,-1.954068080732908,-1.9533401717177596,-1.9524640050693498,-3.4069996635428565,-3.4069788128353893,-3.4079861626001358,-3.4087370937755153,-3.408947413331704
25%,-1.022927216617946,-1.022927216617946,-1.022927216617946,-1.022927216617946,-1.024059383895316,-0.35291979791336797,-0.352703787137214,-0.3531009601399007,-0.3518820026568192,-0.35234396600466,-0.7492624585790308,-0.7495118591752835,-0.7495689802489026,-0.7497174582720865,-0.7498400189999637,-0.7670978189036244,-0.766970667368882,-0.771176169724876,-0.7727954393781002,-0.7719803276566695,-0.7605031273995214,-0.7611314005876307,-0.7619174895186456,-0.7626897874160207,-0.7632560174841638,-0.2719338717349253,-0.2706658072578439,-0.2703109836650039,-0.2721109298263041,-0.2719981938982173,-0.6273920333338684,-0.623610189037552,-0.623304059154712,-0.6239294588545803,-0.6243991386945189,-0.9386599113853679,-0.9399915674902386,-0.9414742330088028,-0.9422978884675894,-0.9437382111995556,-0.7057650200845396,-0.7058464054633729,-0.7061611137035699,-0.7061547964822498,-0.706245665605759,-0.6980661712637143,-0.6978102051990194,-0.6978844146910959,-0.6980493595173137,-0.6982227008617578,-0.7951628852450223,-0.7941587450553709,-0.7946590111627533,-0.794553050592993,-0.7900582698525539,-0.5656846290323768,-0.5628514120288883,-0.5644039300635219,-0.5641375341663118,-0.5639169367957102,-0.740109933905754,-0.7409267340190496,-0.7416975693587445,-0.7424728082053006,-0.7432476274304072,-0.8272328232956504,-0.8267940404821182,-0.8265128001947152,-0.8266752193068587,-0.827520271918235,-1.0431063535885214,-1.043281492532149,-1.0419704008959174,-1.0411771957084726,-1.0402676702121783,-0.4348102811466638,-0.4343018120408168,-0.4341469360929939,-0.43419349499811005,-0.43388511975736294,-0.6422311371412612,-0.642943296500582,-0.6423465840483845,-0.642956030783637,-0.6432005861637515,-0.3274478303398335,-0.3275783288435802,-0.32776559473371936,-0.3279525684065776,-0.32812973187720246,-0.8893003761884626,-0.8893482874754918,-0.8895776140416316,-0.8895040214810178,-0.8872822073836608,-0.8082577855328794,-0.8086905978666868,-0.8091263119145422,-0.8095621838851932,-0.8099996782582616,-0.718268422664886,-0.7189052048513636,-0.7195268862793153,-0.7201322130239793,-0.7207181005157292,-0.6718204510346609,-0.6719080197420363,-0.6704629538432662,-0.6707160559634755,-0.6713378539992142
50%,0.9775866589083937,0.9775866589083937,0.9775866589083937,0.9775866589083937,0.9765058703882981,-0.1292513347715435,-0.1298277808219088,-0.13006706072738664,-0.129664374272988,-0.1301339103364282,-0.14874207856137048,-0.14831294682532747,-0.1483613389710543,-0.1484845083004354,-0.1482372486389637,0.33658910359049715,0.3368896704302426,0.3372055127089469,0.3374071003857646,0.33805591815884495,-0.27339630938361936,-0.27456920217964176,-0.2725741967854419,-0.27283228712500074,-0.2726721883798616,0.010986552687841657,0.011979372825042054,0.01198442439749503,0.012221408700627724,0.0123303239479138,-0.24186749031608945,-0.24196424237367362,-0.24234575888524326,-0.24329459006780485,-0.243882633904555,-0.2899420449314256,-0.29096967089803233,-0.29193990950710796,-0.29299026850686005,-0.2939498468419372,-0.02309697705523426,-0.022925794245080736,-0.02316988605060422,-0.02341500123210041,-0.02337823218664518,-0.0976933597931221,-0.09734861751079646,-0.09740803424832464,-0.09753543489598906,-0.09768284752068848,-0.20284848533292005,-0.20168788476752675,-0.20213073720908326,-0.20254359620554366,-0.20292343324532047,-0.028992339732479652,-0.027404009668669457,-0.027051105863748075,-0.026631865759945077,-0.026439405214971727,-0.5077471493312125,-0.5083101681078454,-0.5077349508866293,-0.5068352832933989,-0.5066248459304556,0.007948823585968769,0.008504378449526536,0.008991028312351747,0.008901373064964137,0.008771148454346341,-0.3171348830210817,-0.3225780679499372,-0.32234354168066104,-0.32490614347596347,-0.3325235891834502,-0.06570188875840025,-0.06640186366100348,-0.06624037906501033,-0.06628687276796537,-0.06592012539769754,-0.41709974518772464,-0.4180725821482342,-0.4180630421131032,-0.41731321788360765,-0.4174902619096758,0.007620229105743197,0.007893245729477241,0.008008677910277892,0.008179243728548705,0.008358808017505524,-0.01101334578688147,-0.010609192908883194,-0.010754982484423234,-0.011101485890447856,-0.011638682947298171,-0.16010412534013743,-0.16082221690164422,-0.1601305036567909,-0.15940369899422124,-0.15762397280373147,-0.17778575650449824,-0.1782891145679128,-0.17645654919174375,-0.17641115180933975,-0.1773532270384203,0.008232869384888404,0.008118344131951288,0.008473132998382982,0.00971597952741404,0.011448809947668913
75%,0.9775866589083937,0.9775866589083937,0.9775866589083937,0.9775866589083937,0.9765058703882981,0.2176567791465074,0.21713075546356714,0.21693352703376956,0.2210836735010401,0.22245826021353646,0.8054519822233768,0.8056105697597352,0.8055760278213523,0.8054930158470438,0.8053915433908287,0.8118440035273926,0.8121917296914937,0.8127483728725842,0.8134310936795485,0.8142510615493076,0.3895936793298888,0.3882000470960506,0.388933241321677,0.3886420484212051,0.38961930483556406,0.270016317397607,0.2707486552239615,0.27128173401726247,0.2715016376826677,0.27160706888379144,0.329457816056111,0.3272197267161461,0.3269882560997406,0.3250409156119867,0.32528714779844525,1.0423201418540569,1.0427302771155207,1.0430770865791121,1.0434889853955458,1.043828488543545,0.657547678988596,0.6576380263610468,0.6574643072896151,0.6573011943633106,0.6572178505108919,0.6511011114560038,0.6512526412519518,0.6512116667843415,0.6511310728265647,0.6510159857871098,0.7045598135049668,0.7042860988548012,0.7040900394943386,0.7039214379668262,0.7037801008277169,0.5108163766312385,0.5111080502790821,0.511651792995757,0.5119523926901329,0.5121166599484921,0.6901966671322268,0.6915918521831449,0.69088424513386,0.6901382105415724,0.6893840391357429,0.8501914555224582,0.8504165969890427,0.8499829188767936,0.8499665054484116,0.8499633826338329,1.1142266111849497,1.1152393457808618,1.116264936419882,1.1171108746620448,1.1178478089355248,0.38978414619184665,0.3903441950284608,0.3905138842301308,0.3904674714753527,0.39022886611339314,0.31337772339331266,0.3161851901383352,0.31586584721605565,0.317620975483348,0.31745160885838375,0.27332356911853745,0.2731941506357768,0.2730029194882872,0.27281187732271683,0.27263286856397395,0.9420235867593536,0.9421760150851873,0.9421208016652501,0.9420607823458255,0.941830068888364,0.6890026073602463,0.6907168892783121,0.6903010592500425,0.6898853429219742,0.6896080782891767,0.6483709289062272,0.6473860520438705,0.6496855520549069,0.6489725757367731,0.6535226327460276,0.6759568573241311,0.6758158642464468,0.6810628883321928,0.6811846414050576,0.6828048834182621
max,0.9775866589083937,0.9775866589083937,0.9775866589083937,0.9775866589083937,0.9765058703882981,3.1724516136342475,3.170907160596011,3.169358588240294,3.167827001071498,3.166312992734158,3.5845969668017816,3.5839675788239753,3.583973376409655,3.5840073250375246,3.5839435285522114,1.220839412797685,1.2212789162633384,1.222216003369812,1.2231634807204457,1.223861635603255,6.532030343354383,6.521640133392467,6.520494106921571,6.519202658308689,6.518635814526467,4.459065786179593,4.455585583848261,4.454824430712981,4.454768752740751,4.454817971804931,3.676138381033667,3.667061973635322,3.6600306790340857,3.6522338625870683,3.6444707158116185,1.910558079630241,1.91190520676617,1.9131103390988682,1.9144751942653473,1.9156613114200012,2.536082045712197,2.5359492926071443,2.5359697976411955,2.53603300553172,2.5359600308927415,2.8876697599317946,2.887244184786242,2.8872582953977672,2.887317507994607,2.887298974005793,2.7643546172069566,2.7646329412755732,2.7649981335123477,2.7653850171466416,2.7657860714295173,3.782730068154511,3.7751623876422715,3.773170467483804,3.7727527715987157,3.7727463456401233,3.617277403860095,3.6163793989242636,3.6158008857088566,3.615114477735042,3.6144024631886564,1.9255580674544002,1.925361340540346,1.9263193677765793,1.926396692278686,1.9253680592836073,1.3771247374105933,1.378439643665979,1.3797167458961965,1.3809532530284676,1.3822310221251515,7.925662333053491,7.928187627843765,7.928492720584981,7.928447643746895,7.930082837104499,8.837542225481286,8.823155517803102,8.824057987539712,8.82401607338308,8.824512541203513,4.4755619422686514,4.475440078249428,4.475221111166752,4.475001610961717,4.474809694896557,1.6768809210585875,1.6768392523593594,1.6768538794146277,1.6770147591233608,1.677020365700477,2.90646634185265,2.904398525822556,2.904012051982911,2.903626092859766,2.9035853867587265,3.0840568369589145,3.0801165818591754,3.0757793538047493,3.071075307615604,3.0659946788981918,3.3866900197977077,3.3864415763189943,3.38577088471851,3.384679952086329,3.3834486962851744
