Open Time,y_test,y_pred,correct
1636848000000,1,1.0,True
1603584000000,0,0.0,True
1536883200000,0,0.0,True
1605571200000,1,0.5908042192459106,False
1586476800000,0,1.0,False
1520208000000,0,0.0,True
1641859200000,1,1.0,True
1524268800000,1,1.0,True
1605139200000,1,0.588225245475769,False
1573862400000,1,1.0,True
1639180800000,1,0.0,False
1664668800000,0,0.0,True
1574467200000,1,1.0,True
1544918400000,1,1.0,True
1622678400000,1,0.0,False
1586390400000,0,0.0,True
1671753600000,0,0.0,True
1577491200000,1,0.44031813740730286,False
1564617600000,1,0.5479830503463745,False
1532649600000,1,0.0,False
1617235200000,0,1.0,False
1638403200000,0,0.47121211886405945,False
1627084800000,1,0.5976827144622803,False
1539129600000,0,0.4908675253391266,False
1600300800000,0,0.0,True
1533081600000,0,0.4298589825630188,False
1570665600000,0,0.0,True
1659484800000,0,0.0,True
1540857600000,0,0.5549065470695496,False
1524614400000,0,0.0,True
1633824000000,0,0.0,True
1632096000000,0,1.0,False
1527984000000,1,0.0,False
1652140800000,1,1.0,True
1639699200000,0,0.44379574060440063,False
1654819200000,0,0.0,True
1598400000000,1,1.0,True
1577145600000,0,1.0,False
1559347200000,0,0.5648106932640076,False
1665705600000,0,0.5845418572425842,False
1618704000000,0,1.0,False
1652054400000,0,1.0,False
1522368000000,0,0.0,True
1670976000000,1,0.0,False
1577577600000,1,0.4951212704181671,False
1556236800000,1,0.0,False
1616716800000,1,1.0,True
1652572800000,1,0.0,False
1561766400000,0,1.0,False
1607299200000,0,0.5930201411247253,False
1599091200000,0,1.0,False
1521676800000,0,0.0,True
1655683200000,0,0.0,True
1591142400000,1,0.4428192973136902,False
1610841600000,0,1.0,False
1635120000000,1,1.0,True
1644969600000,0,0.0,True
1661385600000,1,0.43141886591911316,False
1608595200000,1,0.5498012900352478,False
1543363200000,1,1.0,True
1526947200000,0,0.0,True
1616457600000,1,1.0,True
1638921600000,0,0.0,True
1629331200000,1,1.0,True
1661126400000,0,0.0,True
1538611200000,1,1.0,True
1541721600000,0,0.5831668376922607,False
1570060800000,0,0.0,True
1579651200000,0,0.0,True
1624838400000,0,0.0,True
1529193600000,0,0.0,True
1653955200000,1,0.0,False
1652659200000,0,0.0,True
1562371200000,1,0.5567029714584351,False
1636329600000,1,1.0,True
1634428800000,1,1.0,True
1527206400000,0,0.4179340600967407,False
1537142400000,0,0.0,True
1541635200000,0,0.5610944628715515,False
1569456000000,0,0.0,True
1588032000000,0,1.0,False
1661644800000,0,1.0,False
1600905600000,1,1.0,True
1620604800000,0,0.0,True
1552953600000,1,0.0,False
1533600000000,0,0.0,True
1670198400000,0,0.0,True
1567814400000,1,1.0,True
1613260800000,1,0.5755042433738708,False
1589587200000,1,1.0,True
1624320000000,1,0.4401603937149048,False
1612483200000,1,1.0,True
1594080000000,0,0.0,True
1579046400000,1,0.0,False
1604534400000,1,1.0,True
1558828800000,1,1.0,True
1667865600000,0,1.0,False
1644624000000,0,0.42890220880508423,False
1554249600000,1,1.0,True
1577232000000,0,1.0,False
1531180800000,0,0.5840225219726562,False
1530835200000,1,0.45695173740386963,False
1660003200000,0,0.0,True
1585094400000,0,0.5065434575080872,False
1633651200000,1,1.0,True
1575676800000,0,0.0,True
1628553600000,0,0.0,True
1555804800000,0,0.5516185760498047,False
1580342400000,1,1.0,True
1552694400000,1,0.0,False
1556755200000,1,0.48256662487983704,False
1523318400000,1,1.0,True
1660089600000,1,0.0,False
1532304000000,1,1.0,True
1526860800000,0,0.4599577784538269,False
1528243200000,1,0.0,False
1645660800000,1,1.0,True
1531267200000,1,0.0,False
