,open,symbol,type,profit,cost,balance,cumsum_long_profit,cumsum_short_profit,cumsum_trading_cost
0,1621324800000.0,,,0.0,0.0,100000.0,,,0.0
1,1621324800000.0,QTUMUSDT,long,-218.7601452023622,8.0,99781.23985479763,-218.7601452023622,,8.0
2,1621324800000.0,BALUSDT,long,-603.0394417475735,8.0,99178.20041305006,-821.7995869499357,,16.0
3,1621324800000.0,BANDUSDT,long,259.0917833995401,8.0,99437.29219644959,-562.7078035503956,,24.0
4,1621324800000.0,FILUSDT,long,-410.0456634998448,8.0,99027.24653294975,-972.7534670502405,,32.0
5,1621324800000.0,SANDUSDT,long,-306.00588104475054,8.0,98721.240651905,-1278.759348094991,,40.0
6,1621324800000.0,NEARUSDT,short,613.1016138081271,8.0,99334.34226571313,,613.1016138081271,48.0
7,1621324800000.0,EOSUSDT,short,600.0128850412714,8.0,99934.3551507544,,1213.1144988493984,56.0
8,1621324800000.0,XLMUSDT,short,651.4932315168345,8.0,100585.84838227124,,1864.6077303662328,64.0
9,1621324800000.0,DOGEUSDT,short,608.0548830974255,8.0,101193.90326536867,,2472.662613463658,72.0
10,1621324800000.0,ALGOUSDT,short,104.8880526810916,8.0,101298.79131804977,,2577.55066614475,80.0
11,1621368000000.0,BTCUSDT,long,-994.0269338456608,8.103903305443982,100304.76438420411,-2272.786281940652,,88.10390330544398
12,1621368000000.0,BALUSDT,long,-2021.2943263507611,8.103903305443982,98283.47005785335,-4294.080608291413,,96.20780661088796
13,1621368000000.0,OGNUSDT,long,-2616.7179846475105,8.103903305443982,95666.75207320585,-6910.798592938923,,104.31170991633194
14,1621368000000.0,LITUSDT,long,-2415.950325127254,8.103903305443982,93250.8017480786,-9326.748918066178,,112.41561322177591
15,1621368000000.0,UNFIUSDT,long,-2277.7242475508265,8.103903305443982,90973.07750052777,-11604.473165617004,,120.51951652721989
16,1621368000000.0,DOTUSDT,short,1163.6060671795829,8.103903305443982,92136.68356770735,,3741.156733324333,128.62341983266387
17,1621368000000.0,CHZUSDT,short,2155.8670785037316,8.103903305443982,94292.55064621108,,5897.023811828065,136.72732313810786
18,1621368000000.0,ATOMUSDT,short,2484.776979505083,8.103903305443982,96777.32762571616,,8381.800791333148,144.83122644355186
19,1621368000000.0,NEARUSDT,short,1326.4352243724427,8.103903305443982,98103.7628500886,,9708.23601570559,152.93512974899585
20,1621368000000.0,GRTUSDT,short,2416.1774084508916,8.103903305443982,100519.9402585395,,12124.413424156483,161.03903305443984
21,1621411200000.0,FTMUSDT,long,-2802.2141131693406,8.04159522068316,97717.72614537016,-14406.687278786345,,169.080628275123
22,1621411200000.0,ANKRUSDT,long,-1641.1780624186563,8.04159522068316,96076.54808295151,-16047.865341205,,177.12222349580614
23,1621411200000.0,SUSHIUSDT,long,-2524.478640119468,8.04159522068316,93552.06944283204,-18572.34398132447,,185.1638187164893
24,1621411200000.0,MATICUSDT,long,-2441.5932484177015,8.04159522068316,91110.47619441434,-21013.937229742172,,193.20541393717244
25,1621411200000.0,CELRUSDT,long,-2350.9991152226885,8.04159522068316,88759.47707919165,-23364.93634496486,,201.2470091578556
26,1621411200000.0,AAVEUSDT,short,2738.783018103809,8.04159522068316,91498.26009729547,,14863.19644226029,209.28860437853874
27,1621411200000.0,DOTUSDT,short,3030.39314888245,8.04159522068316,94528.65324617791,,17893.58959114274,217.33019959922188
28,1621411200000.0,MTLUSDT,short,2420.1410572362583,8.04159522068316,96948.79430341418,,20313.730648378998,225.37179481990503
29,1621411200000.0,SNXUSDT,short,2189.429602307554,8.04159522068316,99138.22390572174,,22503.160250686553,233.41339004058818
30,1621411200000.0,HNTUSDT,short,718.9094554381933,8.04159522068316,99857.13336115993,,23222.069706124745,241.45498526127133
31,1621454400000.0,CELRUSDT,short,-1503.5918745412841,15.977141337785588,98353.54148661865,,21718.47783158346,257.4321265990569
32,1621454400000.0,HNTUSDT,short,-1105.342465966413,15.977141337785588,97248.19902065223,,20613.135365617047,273.4092679368425
33,1621454400000.0,MATICUSDT,short,-4834.462492538709,15.977141337785588,92413.73652811353,,15778.672873078338,289.38640927462814
34,1621454400000.0,ANKRUSDT,short,-1932.6705865844804,15.977141337785588,90481.06594152904,,13846.002286493858,305.36355061241375
35,1621454400000.0,MKRUSDT,short,-2360.1737072167734,15.977141337785588,88120.89223431227,,11485.828579277084,321.34069195019936
36,1621497600000.0,BTCUSDT,long,2.978755000300449,10.070959112492831,88123.87098931256,-23361.957589964557,,331.4116510626922
37,1621497600000.0,WAVESUSDT,long,-1106.098425398225,10.070959112492831,87017.77256391433,-24468.05601536278,,341.4826101751851
38,1621497600000.0,MATICUSDT,short,1138.8075113900575,10.070959112492831,88156.58007530439,,12624.636090667142,351.55356928767793
39,1621497600000.0,FILUSDT,short,-174.1525839033614,10.070959112492831,87982.42749140103,,12450.48350676378,361.6245284001708
40,1621497600000.0,ADAUSDT,short,-38.81388134422867,10.070959112492831,87943.6136100568,,12411.66962541955,371.69548751266365
41,1621497600000.0,CELRUSDT,short,1154.296185728547,10.070959112492831,89097.90979578534,,13565.965811148097,381.7664466251565
42,1621497600000.0,SOLUSDT,short,-358.30928160992886,10.070959112492831,88739.60051417541,,13207.656529538168,391.83740573764936
43,1621540800000.0,ZECUSDT,long,-82.49596725013193,7.099168041134034,88657.10454692529,-24550.551982612913,,398.9365737787834
44,1621540800000.0,BALUSDT,long,-269.966068890291,7.099168041134034,88387.13847803499,-24820.518051503204,,406.0357418199174
