,open,datetime,symbol,type,profit,cost,balance,close_type,BITCOIN_PRICE,cumsum_profit,cumsum_long_profit,cumsum_short_profit,cumsum_trading_cost
0,1590004800000,,,,0.0,0.0,100000.0,,9511.43,0.0,,,0.0
1,1590004800000,2020-05-20 20:00:00,ADAUSDT,long,27626.179433122517,26.66666666666667,127626.17943312251,0,9511.43,27626.179433122517,27626.179433122517,,26.66666666666667
2,1590004800000,2020-05-20 20:00:00,BATUSDT,short,7473.333333333334,26.66666666666667,135099.51276645585,1,9511.43,35099.51276645585,27626.179433122517,7473.333333333334,53.33333333333334
3,1590004800000,2020-05-20 20:00:00,IOTAUSDT,short,7473.333333333334,26.66666666666667,142572.8460997892,1,9511.43,42572.84609978919,27626.179433122517,14946.666666666668,80.00000000000001
4,1591214400000,2020-06-03 20:00:00,ADAUSDT,long,-661.3574791360936,28.514569219957842,141911.4886206531,0,9666.24,41911.488620653094,26964.821953986422,14946.666666666668,108.51456921995785
5,1591214400000,2020-06-03 20:00:00,ONTUSDT,long,-1512.4183564106295,28.514569219957842,140399.07026424247,0,9666.24,40399.070264242466,25452.403597575794,14946.666666666668,137.0291384399157
6,1591214400000,2020-06-03 20:00:00,ETHUSDT,long,-1097.480507314777,28.514569219957842,139301.5897569277,0,9666.24,39301.589756927686,24354.923090261018,14946.666666666668,165.54370765987355
7,1591214400000,2020-06-03 20:00:00,BTCUSDT,short,-21414.44148418834,28.514569219957842,117887.14827273934,-1,9666.24,17887.148272739345,24354.923090261018,-6467.774817521673,194.0582768798314
8,1592424000000,2020-06-17 20:00:00,XRPUSDT,long,-4882.067988328859,23.57742965454787,113005.08028441049,0,9465.14,13005.080284410486,19472.85510193216,-6467.774817521673,217.63570653437927
9,1592424000000,2020-06-17 20:00:00,XTZUSDT,short,-5917.934843291516,23.57742965454787,107087.14544111898,-1,9465.14,7087.14544111897,19472.85510193216,-12385.709660813189,241.21313618892714
